Region,Value,Year
Абай,318,2022
Акмолинская,559,2022
Актюбинская,426,2022
Алматинская,464,2022
Атырауская,220,2022
Западно-Казахстанская,381,2022
Жамбылская,501,2022
Жетису,349,2022
Карагандинская,437,2022
Костанайская,476,2022
Кызылординская,331,2022
Мангистауская,186,2022
Павлодарская,371,2022
Северо-Казахстанская,467,2022
Туркестанская*,1004,2022
Улытау,88,2022
Восточно-Казахстанская,361,2022
город Астана,164,2022
город Алматы,333,2022
город Шымкент,251,2022
